idinterrupcion,eps,sede,tipointerrupcion,tiposervicio,motivointerrupcion,fechainicio,horainicio,fechafin,horafin,departamento,provincia,distrito,numconexdom,unidadesuso,numcamionespuntos,inicio_dt,fin_dt,duracion_horas,mes
d5c87568cfeea9a9359003fd02032a3f,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,10:00:00,20230301,20:00:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,261,293,NA,2023-03-01,2023-03-02,24,2023-03-01
bc075876026a9cc5a951f610994ff41b,EPS EMAPAT,EMAPAT,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20230308,14:00:00,20230308,17:00:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2300,2318,NA,2023-03-09,2023-03-09,0,2023-03-01
0d57e185e1ffce58d640e7feca205839,SEDAPAL,SJL,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,12:30:00,20230301,17:50:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,6562,8857,NA,2023-03-02,2023-03-02,0,2023-03-01
a148cafb626b5815a7eac678efda6a4b,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,12:15:00,20230302,02:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,11142,15959,NA,2023-03-02,2023-03-02,0,2023-03-01
dcfa4d6812b7cf4a8810e434fec62041,SEDAPAL,SJL,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,11:30:00,20230301,17:00:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,399,413,NA,2023-03-01,2023-03-02,24,2023-03-01
063ffb9a78700e99ba04f65641ec3877,EMAPICA,ICA,IMPREVISTA,AGUA POTABLE,OTROS,20230301,10:30:00,20230301,11:55:00,ICA,ICA,ICA,370,379,NA,2023-03-01,2023-03-01,0,2023-03-01
bce2ae9bfe1b6a0965b79d14494af116,EMSAPA CALCA,EMSAPA CALCA,PROGRAMADA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230302,14:00:00,20230302,18:00:00,CUSCO,CALCA,CALCA,4128,4128,NA,2023-03-03,2023-03-03,0,2023-03-01
45d4d99c81b641d5fb8a2f1bdcb77804,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,05:00:00,20230301,18:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,348,422,NA,2023-03-01,2023-03-02,24,2023-03-01
d39f31250235151c366d6bcc202a6fc9,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,02:00:00,20230301,14:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,7801,11410,NA,2023-03-01,2023-03-02,24,2023-03-01
5f915099e85f33fdebfc90a971cd5275,SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,08:40:00,20230301,11:40:00,AREQUIPA,AREQUIPA,SACHACA,159,159,NA,2023-03-01,2023-03-01,0,2023-03-01
817b2cb6a4a73f04f60d748dd931ad7e,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,22:45:00,20230228,23:55:00,AYACUCHO,HUAMANGA,JESUS NAZARENO,800,0,NA,2023-03-01,2023-03-01,0,2023-02-01
17946232c0fb4009be4638c37b5a447c,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,09:05:00,20230228,19:50:00,AYACUCHO,HUAMANGA,AYACUCHO,110,0,NA,2023-02-28,2023-03-01,24,2023-02-01
7cddc38f9574216f1e51c4e89ecc8205,SEDAPAL,CALLAO,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,08:00:00,20230301,14:00:00,CALLAO,CALLAO,BELLAVISTA,989,1200,NA,2023-03-01,2023-03-02,24,2023-03-01
0eccb5ace7694e081bdc037be8ec4a78,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,07:40:00,20230301,18:30:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,386,485,NA,2023-03-01,2023-03-02,24,2023-03-01
064f84c6ccc01b661730b11d264d920a,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,07:00:00,20230301,18:25:00,LIMA,LIMA,VILLA EL SALVADOR,71027,100502,NA,2023-03-01,2023-03-02,24,2023-03-01
496e7f895506bea971e32beef7e54e41,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,06:55:00,20230301,15:00:00,LIMA,LIMA,LA MOLINA,1320,1714,NA,2023-03-01,2023-03-02,24,2023-03-01
4f1ca7498ec17f5effa6f8d49da15a4a,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,06:30:00,20230301,14:30:00,LIMA,LIMA,LA MOLINA,3295,4748,NA,2023-03-01,2023-03-02,24,2023-03-01
bd8eacc5b01690065c16e80ae1ac3997,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,06:25:00,20230301,18:25:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,1703,2821,NA,2023-03-01,2023-03-02,24,2023-03-01
839a23c6c536cfd615661db29673e1a7,SEDAPAL,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230313,14:00:00,20230313,20:00:00,LIMA,LIMA,ATE,439,200,NA,2023-03-14,2023-03-14,0,2023-03-01
70a8692cc0397717cb2259d80594bc83,SEDAPAL,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230313,08:00:00,20230313,16:00:00,LIMA,LIMA,ATE,1210,350,NA,2023-03-13,2023-03-14,24,2023-03-01
819f5ce8aef47ad1542cfb1b02c82605,SEDAPAL,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230308,12:00:00,20230308,19:00:00,LIMA,LIMA,INDEPENDENCIA,12056,15743,NA,2023-03-08,2023-03-09,24,2023-03-01
a0fb69471b66c486cf2bee6ce075df6b,SEDAPAL,SJL,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230310,10:00:00,20230310,18:00:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1740,1827,1,2023-03-10,2023-03-11,24,2023-03-01
9a793097f150913f70a6103a9688401e,SEDAPAL,SJL,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230309,10:00:00,20230309,20:00:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1965,2063,NA,2023-03-09,2023-03-10,24,2023-03-01
290884fbdbea01cc38b82bcd5d680745,SEDAPAL,SJL,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230308,13:00:00,20230308,20:00:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1851,1944,1,2023-03-09,2023-03-09,0,2023-03-01
147ca25b5eec9bfb27082c275a81eb1a,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230228,22:35:00,20230301,08:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,1431,2017,NA,2023-03-01,2023-03-01,0,2023-02-01
478d96d6fd148e633e2f8b077e858572,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230228,22:00:00,20230301,05:00:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,1230,1230,NA,2023-03-01,2023-03-01,0,2023-02-01
66911adbc4526aea81a673e446605720,SEDAPAL,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230308,10:00:00,20230308,17:00:00,LIMA,LIMA,INDEPENDENCIA,582,609,NA,2023-03-08,2023-03-09,24,2023-03-01
c124ad6dcad42f83fc19288cc5a1b810,SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,17:50:00,20230228,22:00:00,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,253,253,NA,2023-03-01,2023-03-01,0,2023-02-01
5041c6f9d7132959f58547e5139f8078,EPS EMAPA HUANCAVELICA,EMAPA HUANCAVELICA,PROGRAMADA,AGUA POTABLE,LINEA DE CONDUCCION DE AGUA CRUDA,20230306,09:00:00,20230306,18:30:00,HUANCAVELICA,HUANCAVELICA,NA,0,0,NA,2023-03-06,2023-03-07,24,2023-03-01
d37df13882f9b3d9c3b0671d94c3f2be,SEDAPAL,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,06:00:00,20230228,23:55:00,LIMA,LIMA,CHORRILLOS,15926,23458,NA,2023-02-28,2023-03-01,24,2023-02-01
299db18f33c508d8c7929df6273eaa66,EMAPA SAN MARTIN,SAN MARTIN,IMPREVISTA,AGUA POTABLE,OTROS,20230228,12:35:00,20230301,05:15:00,SAN MARTIN,BELLAVISTA,BELLAVISTA,1845,0,NA,2023-03-01,2023-03-01,0,2023-02-01
6e2ccfd15a6d536c7699055b53fca40b,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,15:40:00,20230228,20:00:00,LIMA,LIMA,COMAS,2220,2970,NA,2023-03-01,2023-03-01,0,2023-02-01
9e7aa1bb43a835f243d3d451fc32f422,SEDAPAL,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,14:30:00,20230228,20:30:00,LIMA,LIMA,LINCE,38479,62787,NA,2023-03-01,2023-03-01,0,2023-02-01
775cb7e6913a1089393e32548c39b01f,EMAPA SAN MARTIN,SAN MARTIN,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230228,10:40:00,20230228,13:40:00,SAN MARTIN,SAN MARTIN,TARAPOTO,18599,0,NA,2023-02-28,2023-03-01,24,2023-02-01
989b8a6e884c9e0d463f5ce063f50a51,SEDAPAL,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20230308,12:00:00,20230308,23:55:00,LIMA,LIMA,SANTIAGO DE SURCO,272,653,NA,2023-03-08,2023-03-09,24,2023-03-01
